taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,r2_ss_list,sd_te,nebraska_swap,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,IMBCR_nObs,IMBCR_minYear,IMBCR_maxYear,sum_nObs,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,Most Recent Occurrence Record,Is the Species Native and Known to Occur,"What is the rationale and supporting BASI for recommending that an observation does not meet the requirements of native to, and known to occur in the plan area?"
2723156,Carex diandra,Lesser Panicled Sedge,G5,S3,NA,NA,USFS R2 Sensitive Species,NA,NA,4,1893,2017,0,NA,NA,6,1995,2017,1,1995,1995,0,NA,NA,0,NA,NA,11,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex diandra,NA,NA,NA,NA,Yes,NA
2728532,Carex lasiocarpa var. americana,Slender Sedge,T5,S1,NA,NA,NA,NA,Tier 2,1,2004,2004,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex lasiocarpa,NA,Carex lasiocarpa americana,NA,2004,Yes,NA
2867614,Lemna minuta,Least Duckweed,G5,S1,NA,NA,NA,NA,Tier 2,2,1995,1995,0,NA,NA,3,1995,1995,1,1995,1995,1,1995,1995,0,NA,NA,7,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Lemna,Lemna minuta,NA,NA,NA,NA,Yes,NA
7066539,Agoseris glauca var. glauca,Pale Goat-chicory,T5,S1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,1974,1974,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Agoseris,Agoseris glauca,NA,Agoseris glauca glauca,NA,1974,"No, there is insufficient temporal certainty that the species still occupies the plan area",species is more than 40 years old. Record has it occuring in Buffalo Gap National grassland with an uncertainity of 1 mile. Even with that un certainity it does fall with in the plan area. Ask unit about  this species if they know it has been recently observed
5384387,Amaranthus californicus,California Amaranth,G4,S2,NA,NA,NA,NA,Tier 2,10,1991,1998,0,NA,NA,9,1991,1998,2,1995,1998,9,1991,1998,0,NA,NA,30,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Amaranthus,Amaranthus californicus,NA,NA,NA,NA,Yes,NA
7226707,Anemone multifida var. multifida,Early Anemone,T5,S1,NA,NA,NA,NA,Tier 2,3,1889,1911,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,3,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Anemone,Anemone multifida,NA,Anemone multifida multifida,NA,1911,"No, there is insufficient spatial certainty that the observation occurred within the plan area","The observation for the plan area has a location uncertainity of 8000m and part of the elements occurence record polygon  overlaps the edge of the plan area, thus it cannot be determined whether the observation was inside the plan area"
5385499,Antennaria rosea,Rosy Pussytoes,G5,S1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,4,2004,2005,0,NA,NA,0,NA,NA,0,NA,NA,4,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Antennaria,Antennaria rosea,NA,NA,NA,2005,Yes,NA
8076188,Atriplex gardneri,Gardner's Saltbush,G5,S1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,1995,1995,2,1995,1995,0,NA,NA,0,NA,NA,3,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Amaranthaceae,Atriplex,Atriplex gardneri,NA,NA,NA,1995,Yes,NA
7219352,Eriogonum brevicaule var. brevicaule,Shortstem Buckwheat,T4,S1,NA,NA,NA,NA,Tier 2,1,2004,2004,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Polygonaceae,Eriogonum,Eriogonum brevicaule,NA,Eriogonum brevicaule brevicaule,NA,2004,Yes,NA
3066993,Euphorbia dentata,Toothed Spurge,G5,S1,NA,NA,NA,NA,NA,0,NA,NA,0,NA,NA,1,1999,1999,0,NA,NA,0,NA,NA,0,NA,NA,1,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,Euphorbia dentata,NA,NA,NA,1999,"No, there is insufficient spatial certainty that the observation occurred within the plan area",This species herbarium record says it occurs in the state of Wyoming and county Niobrara but it is spatially mapped in the plan area in the county of Fall River NE. Good to get input from unit on this one if any known occurences occur in the plan area
