taxon_id,scientific_name,common_name,rounded_gRank,NE_sRank,SD_sRank,usfws_status,sd_te,nebraska_swap,kingdom,phylum,class,order,family,genus,species,subspecies,variety,form,NENHP_nObs,NENHP_minYear,NENHP_maxYear,SDNHP_nObs,SDNHP_minYear,SDNHP_maxYear,SEI_nObs,SEI_minYear,SEI_maxYear,GBIF_nObs,GBIF_minYear,GBIF_maxYear,iDB_nObs,iDB_minYear,iDB_maxYear,sum_nObs
5275149,Dryopteris carthusiana,Spinulose Shieldfern,G5,S2,S1,NA,NA,Tier 2,Plantae,Tracheophyta,Polypodiopsida,Polypodiales,Dryopteridaceae,Dryopteris,Dryopteris carthusiana,NA,NA,NA,1,1995,1995,0,NA,NA,1,1995,1995,0,NA,NA,0,NA,NA,2
2650190,Botrychium campestre,Prairie Dunewort,G3,S1,S2,NA,NA,Tier 1,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,Botrychium,Botrychium campestre,NA,NA,NA,1,2017,2017,0,NA,NA,1,2017,2017,0,NA,NA,0,NA,NA,2
2650138,Ophioglossum pusillum,Northern Adder's-tongue,G4,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Polypodiopsida,Ophioglossales,Ophioglossaceae,Ophioglossum,Ophioglossum pusillum,NA,NA,NA,2,1912,1995,0,NA,NA,11,1995,1995,3,1995,1995,6,1995,1995,22
2684709,Juniperus communis,Ground Juniper,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus communis,NA,NA,NA,19,1972,2016,0,NA,NA,15,1971,2005,2,Inf,-Inf,0,NA,NA,36
2684410,Juniperus horizontalis,Creeping Juniper,G5,S1,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Pinopsida,Pinales,Cupressaceae,Juniperus,Juniperus horizontalis,NA,NA,NA,4,1936,2004,0,NA,NA,8,2004,2005,0,NA,NA,0,NA,NA,12
2873769,Acorus americanus,American Sweetflag,G5,S2,S4,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Acorales,Acoraceae,Acorus,Acorus calamus,NA,NA,NA,0,NA,NA,0,NA,NA,2,2018,2022,1,2022,2022,1,2018,2018,4
2856745,Allium cernuum,Nodding Onion,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,Allium cernuum,NA,NA,NA,8,1889,2008,0,NA,NA,6,1991,2008,0,NA,NA,4,1991,2008,18
2703671,Bromus inermis ssp. pumpellianus,Awnless Brome,T5,S1,SNR,NA,NA,NA,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus pumpellianus,Bromus inermis pumpellianus,NA,NA,1,2015,2016,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
2703686,Bromus marginatus,Large Mountain Brome,G5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Poaceae,Bromus,Bromus marginatus,NA,NA,NA,6,1889,2016,0,NA,NA,7,1991,2016,1,1991,1991,5,1991,2016,19
7676640,Carex aquatilis var. substricta,Calcareous Water Sedge,T5,S2,SNR,NA,NA,Tier 2,Plantae,Tracheophyta,Liliopsida,Poales,Cyperaceae,Carex,Carex aquatilis,NA,Carex aquatilis substricta,NA,1,2004,2004,0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,1
